,remaining states
0,Connecticut
1,Iowa
2,Arkansas
3,Alaska
4,Oregon
5,Nevada
6,New Hampshire
7,Kansas
8,Vermont
9,New York
10,Missouri
11,Alabama
12,South Carolina
13,Michigan
14,Louisiana
15,Maine
16,Maryland
17,Delaware
18,Kentucky
19,Colorado
20,Virginia
21,Illinois
22,Texas
23,Idaho
24,Indiana
25,Mississippi
26,North Dakota
27,Pennsylvania
28,Tennessee
29,Hawaii
30,South Dakota
31,Montana
32,Ohio
33,Georgia
34,Utah
35,Minnesota
36,Arizona
37,North Carolina
38,Rhode Island
39,Wisconsin
40,Oklahoma
41,Nebraska
42,New Mexico
43,New Jersey
44,Washington
45,West Virginia
46,Massachusetts
47,Wyoming
