,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,pensais,thought
5,aide,help
6,demande,request
7,frère,brother
8,mettre,to put
9,eux,them
10,ville,city
11,chaque,each
12,parlé,speak
13,arrivé,come
14,devrait,should
15,longtemps,long time
16,heures,hours
17,vont,will
18,aucune,any
19,place,square
20,étaient,were
21,attention,Warning
22,pourrais,could
23,donner,give
24,leurs,their
25,train,train
26,corps,body
27,écoute,listen
28,dont,whose
29,trouve,find
30,premier,first
31,perdu,lost
32,main,hand
33,première,first
34,pouvoir,power
35,tellement,so much
36,enfant,child
37,pardon,sorry
38,devant,in front of
39,minutes,minutes
40,chambre,bedroom
41,droit,law
42,mari,husband
43,espère,hope
44,eau,water
45,attendez,Wait
46,parti,left
47,arrêter,Stop
48,dirait,would say
49,compte,account
50,chérie,sweetheart
51,aura,will have
52,filles,girls
53,bureau,office
